Culture,Focal_Year,PBM_Data,Source,Source_Coverage_Years,Sub_Group,Full_Pinpoint information,Page_Nums,HRAF_Sources,SCCS_Sources,DPlace_Sources,Source_URL,My_Comments,
!Kung,,1,"Biesele, Megan. 1993. Women like meat: the folklore and foraging ideology of the Kalahari Ju/’hoan. Witwatersrand University Press ; Indiana University Press.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,225,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=fx10-067,"Same author, same group, same time period",
!Kung,,--,"Biesele, Megan. 1975. Folklore and Ritual of !Kung Hunter-Gatherers. Ph.D. Dissertation, Harvard.","1970-1972, 1975 (field dates);","Dobe !Kung, Botswana",,nd,0,2,0,Unavailable through ILL,,
!Kung,,0,"Biesele, Megan. 1976. Aspects of !Kung Folklore. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 302-324. Cambridge: Harvard University Press.",1970-1972 (field dates),Dobe !Kung area of northwest Botswana,,22,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Blurton Jones, Nicolas G., K. Hawkes, and J. O’Connell. 1988. Measuring and Modelling Costs of Children in Two Foraging Societies. In Comparative Socioecology of Mammals and Man. R. Foley and V. Standen, eds. London.",1967-1971 (field dates); 1967-1971 (total coverage),"Dobe !Kung, Botswana",,24,0,2,0,https://drive.google.com/file/d/18N1Sw0fa31uMgB-qno4Zk9BXd0a-x5Fp/view?usp=share_link,,
!Kung,,0,"Blurton Jones, Nicholas G. 1986. Bushman Birth Spacing: A Test for Optimal Interbirth Intervals. Ethology and Sociobiology 7: 91-105.",1967-1971 (field dates); 1967-1971 (total coverage),"Dobe !Kung, Botswana",,14,0,2,0,https://www.sciencedirect.com/science/article/pii/0162309586900026,,
!Kung,,0,"Blurton Jones, Nicolas & Melvin Konner. 1976. !Kung Knowledge of Animal Behavior (or: The Proper Study of Mankind is Animals). In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 335-348. Cambridge: Harvard University Press.",1970 (field date),Dobe !Kung area of northwest Botswana,,13,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Draper, Patricia. 1972 !Kung Bushman Childhood. Ph.D. Dissertation. Harvard.",1968-1969 (field dates),"!Kung of Dobe, Mahopa, and /Du/da, northwestern Ngamiland, Botswana",,286,0,2,0,https://drive.google.com/file/d/1WDfGO8_JKnRZHNCRVh5CmgGT5oPScl55/view?usp=drive_link,,
!Kung,,0,"Draper, Patricia. 1973. Crowding among Hunter-Gatherers: The !Kung Bushmen. Science 182: 301-303.",1968-1969 (field dates),"Dobe !Kung, northwestern Ngamiland, Botswana",,3,0,2,0,https://www.jstor.org/stable/pdf/1737127.pdf?casa_token=4B8mPOkmOHIAAAAA:SZkNPf1mV_aNtc58Mw7MNGNY9TZtUeMruv4zJX0cPW65zxwrhixV7JfIdV7qHaFJN-OFJB6fzWuq70SxpuVtUw5Y1q1fkh5z9QAcGiJ57YmUHhVE2S0,,
!Kung,,0,"Draper, Patricia. 1975. !Kung Women: Contrasts in Sexual Egalitarianism in the Foraging and Sedentary Contexts. In Toward an Anthropology of Women. R. Reiter, ed. pp. 77-109. New York.",1968-1969 (field dates); 1968-1969 (total coverage),"Dobe, !Kwanga and Duda !Kung areas, Botswana",,32,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-032,,
!Kung,,0,"Draper, Patricia. 1976. Social and Economic Constraints on! Kung Childhood. In Kalahari Hunter-Gatherers. R. B. Lee and I. DeVore, eds. pp. 199-217. Cambridge, Mass.",1969-1971 (total coverage),"/Du/da !Kung, Namibia, Botswana",,18,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-049,,
!Kung,,0,"Draper, Patricia. 1978. The Learning Environment for Aggression and Anti-Social Behavior among the !Kung.",1968-1969 (field dates),"Dobe, !Kwanga and Duda !Kung areas, Botswana",,13,0,1,1,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1011&context=anthropologyfacpub,,
!Kung,,0,"Draper, Patricia. 1985. Two Views of Sex Differences in Socialization. In Male-Female Differences: A Bio-Cultural Perspective. R. L. Hall, ed. pp. 5-25. New York.",1968-1969 (field dates),Dobe !Kung area of northwest Botswana,,20,0,2,0,https://archive.org/details/malefemalediffer0000hall,,
!Kung,,--,"Draper, Patricia. n.d. ! Kung Subsistence Work at /Du/da. Forthcoming.",1968-1969 (field dates),"/Du/da !Kung, Namibia, Botswana",,nd,0,2,0,Unknown Source,I have not been able to locate any source with the cited title.,
!Kung,,0,"Draper, Patricia, and E. Cashdan. 1988. Technological Change and Child Behavior among the !Kung. Ethnology 27: 339-366.",1968-1969 (field dates); 1968-1969 (total coverage),"Dobe !Kung and !Kangwa !Kung, !Kwanga and Duda areas, Botswana",,27,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-043,,
!Kung,,0,"Draper, Patricia. 1976. Social and Economic Constraints on Child Life among the !Kung. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 199-217. Cambridge: Harvard University Press.",1969 (field dates),"/Du/da !Kung area, Botswana",,218,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Gordon, Robert. 1986. A Namibian Perspective on Lorna Marshall’s Ethnography. In The Past and Future of! Kung Ethnography. M. Biesele, ed., with R. Gordon and R. Lee. pp. 359-374. Hamburg.",,All of Namibia,,15,0,1,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,0,"Gordon, Robert. 1986. Once Again: How many Bushmen are There? In The Past and Future of !Kung Ethnography. M. Biesele, ed., with R. Gordon and R. Lee pp. 53-68. Hamburg.",1910-1980s (total coverage),All !Kung subgroups,,15,0,1,0,https://drive.google.com/file/d/1erJpwEjZD4Asdz5c0aOcotg35YpFsvje/view?usp=share_link,,
!Kung,,0,"Guenter, Mathias. (1986). “San” or “Bushmen”? In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 27-52. Hamburg: Helmut Buske Verlag.",~18th century - 1980s (total coverage),All of Namibia,,25,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,0,"Guenter, Mathias. 1976. From Hunters to Squatters: Social and Cultural Change among the Farm San of Ghanzi, Botswana. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 120-133. Cambridge: Harvard University Press.",1950s-1967 (total coverage),"Ghanzi district, Botswana",,13,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Hansen, J. D. L., A. S. Truswell, C Freeseman, and B. MacHutchon. 1969. The Children of Hunting and Gathering Bushmen. South African Medical Journal 43: 1158.",,"Dobe !Kung, Botswana",,1,0,2,0,https://drive.google.com/file/d/1qAVVHMRTXL32BKzRKlTmLTQ4cM5LtX-L/view?usp=share_link,,
!Kung,,0,"Harpending, Henry. 1976. Regional Variation in !Kung Populations. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 152-165. Cambridge: Harvard University Press.",,"All !Kung of Botswana: North !Kung, !Kangwa, /Xai/xai, Sehitwa !Kung, /Du/da !Kung, ≠”Au//ei (Kaukau) !Kung, and the Namibia !Kung of Nyae Nyae",,13,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,--,"Harpending, Henry. C. 1971. !Kung Hunter-Gatherer Population Structure. Ph.D. Dissertation. Harvard.",,"Dobe !Kung, Botswana",,nd,0,2,0,Unavailable through ILL,Non-circulating from Harvard,
!Kung,,0,"Harpending, Henry. C., and L. Wansnider. 1982. Population Structures of Ghanzi and Ngamiland !Kung. In Current Developments in Anthropological Genetics. M. Crawford, ed. 2: 29-50. New York.",,"Ghanzi and Ngamiland (includes Nyae Nyae, /Xai /Xai, Dobe, !Kangwa, Sehitwa, and /Du/da) !Kung",,21,0,2,0,https://archive.org/details/currentdevelopme0000unse,,
!Kung,,1,"Howell, Nancy. 1979. Demography of the Dobe Area !Kung. New York.",1967-1969 (field dates); 1955-1973 (total coverage),"Dobe !Kung, Botswana",,411,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-019,,
!Kung,,--,"Howell, Nancy. n.d. Estimating Absolute Age in a Remote and Nonliterate Population. Princeton. MS",,"Dobe !Kung, Botswana",,nd,0,2,0,Unavailable through ILL,,
!Kung,,0,"Howell, Nancy. 1976. The Population of the Dobe Area !Kung. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 137-151. Cambridge: Harvard University Press.",1963-1969 (field dates),Dobe !Kung area of northwest Botswana,,14,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Katz, R. 1973. Education from Transcendence: Lessons from the !Kung Zhu/Twasi. Journal of Transpersonal Psychology 5(12): 136-155.",1968 (field date),Zhu/twasi !Kung,,19,0,2,0,http://www.atpweb.org/jtparchive/trps-05-73-02-136.pdf,,
!Kung,,0,"Katz, R. 1982. Accepting Boiling Energy: The Experience of !Kia- Healing among the !Kung. Ethos 10(4): 344-367.",1968 (field date),"/Xai/xai camp, Kalahari Desert, northwestern Botswana",,23,0,2,0,https://www.jstor.org/stable/3696946,,
!Kung,,0,"Katz, Richard & Megan Biesele. 1986. !Kung Healing: The Symbolism of Sex Roles and Culture Change. In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 195-230. Hamburg: Helmut Buske Verlag.","1968, 1970-1972 (field dates)","Dobe, /Xai/xai, and !Goshe !Kung",,35,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,0,"Katz, Richard. 1976. Education for Transcendence: !Kia-Healing with the Kalahari !Kung. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 281-301. Cambridge: Harvard University Press.",1968 (field date),Dobe !Kung area of northwest Botswana,,20,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Konner, Melvin. 1976. Maternal care, infant behavior and development among the !Kung. In kalahari hunter-gatherers : studies of the !kung san and their neighbors (pp. 218–245, 398–399). Harvard University Press.","1969-1971, 1975 (field dates)","!Kangwa, Dobe, and /Du/da !Kung, Namibia and northwestern Botswana",,29,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=fx10-050,"Same author, same group, same time period?",
!Kung,,0,"Konner, Melvin. 2005. Hunter-Gatherer Infancy and Childhood: The !Kung and Others. In: B.S. Hewlett and M.E. Lamb (Eds.), Hunter-Gatherer childhoods (pp. 19-64). Aldine/Transaction.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,45,0,0,0,https://www.melvinkonner.com/wp-content/uploads/2021/04/KonnerHGCProofs.pdf,"Same author, same group, same time period",
!Kung,,0,"Konner, Melvin and C. Worthman. 1980. Nursing Frequency, Gonadal Function, and Birth-Spacing among! Kung Hunter-Gatherers. Science 207: 788-791.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,3,0,2,0,https://www.science.org/doi/abs/10.1126/science.7352291,,
!Kung,,0,"Konner, Melvin and Marjorie Shostak. 1987. Timing and management of birth among the! Kung: Biocultural interaction in reproductive adaptation. Cultural Anthropology, 2(1), 11-28.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,17,processed_nocode,0,0,https://www.melvinkonner.com/wp-content/uploads/2009/05/Timing-Management-Birth.pdf,"Same author, same group, same time period",
!Kung,,0,"Konner, Melvin and Marjorie Shostak. 1986. Ethnographic Romanticism and the Idea of Human Nature: Parallels Between Samoa and !Kung San In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 69-76. Hamburg: Helmut Buske Verlag.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,7,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,0,"Konner, Melvin J. 1972. Aspects of the Developmental Ecology of a Foraging People. In Ethological Studies of Child Behavior. N. G. Blurton Jones, ed. pp. 285-384. Cambridge, England.",1969-1971 (field dates),"Zhuntwasi, Angola, Botswana, and Namibia",,99,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-033,,
!Kung,,0,"Konner, Melvin J. 1973. Infancy among the Kalahari Desert San. In Cultural and Social Influences in Infancy and EarIy Childhood. P. H. Leiderman and S. Tulkin, eds. Stanford.",1969-1971 (field dates),"Dobe, !Kangwa, and /Du/da !Kung, Botswana",,43,0,2,0,https://drive.google.com/file/d/1yE2z2Jpoxyj_lAY5Zl4LZ0As7EQB_CgN/view?usp=share_link,,
!Kung,,--,"Konner, Melvin J. 1973. Infants of a Foraging People. Ph.D. Dissertation. Harvard.",1969-1971 (field dates),"Dobe !Kung, Botswana",,nd,0,2,0,Unavailable through ILL,Non-circulating,
!Kung,,--,"Konner, Melvin J.1971. Infants of a Foraging People. Milch 1: 44-73.",1969-1971 (field dates),"Dobe !Kung, Botswana",,nd,0,2,0,Unavailable through ILL,,
!Kung,,0,"Konner, Melvin. 1976. Maternal Care, Infant Behavior and Development among the !Kung. In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 218-245. Cambridge: Harvard University Press.",1969-1971 (field dates),Dobe !Kung area of northwest Botswana,,27,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Kruger, A. C., and Melvin Konner. 2010. Who responds to crying?. Human Nature, 21(3), 309-329.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,20,0,0,0,https://www.melvinkonner.com/wp-content/uploads/2009/05/Kruger-Konner-Who-responds-to-crying%E2%80%93as-published%E2%80%932010.pdf,"Same author, same group, same time period",
!Kung,,1,"Lee, Richard. 1979. The !Kung San: men, women, and work in a foraging society. Cambridge University Press.","1963-1965, 1967-1968, 1969, 1970-1971, 1972-1973 (field dates); 1963-1973 (total coverage)","Dobe !Kung, Dobe area, Botswana",,551,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-018,,
!Kung,,0,"Lee, Richard. 1966. Subsistence Ecology of !Kung Bushmen. Ph.D. Dissertation, University of California, Berkeley.",1963-1965 (field dates); 1963-1965 (total coverage),"Dobe !Kung, Dobe area, Botswana",,221,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-016,,
!Kung,,0,"Lee, Richard. 1968. What Hunters Do for a Living. In Man the Hunter. R. B. Lee and I. DeVore, eds., pp. 30-48. Chicago.",1963-1965 (field dates); 1963-1965 (total coverage),"Dobe !Kung, Dobe area, Botswana",,18,0,2,0,https://archive.org/details/ManTheHunter,,
!Kung,,1,"Lee, Richard. 1972a. The !Kung Bushmen in Botswana. In Hunters and Gatherers Today. M. Bicchieri, ed. pp. 327-368. New York.",1963-1965 (field dates); 1963-1965 (total coverage),"Dobe !Kung, Dobe area, Botswana",,41,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=fx10-040,,
!Kung,,0,"Lee, Richard. 1972b. Population Growth and the Beginnings of Sedentary Life among the !Kung Bushmen. In Population Growth: Anthropological Implications. B. Spooner, ed. pp. 329-342. Cambridge, Mass.","1963-1965, 1967-1969 (field dates); 1963-1969 (total coverage)","Dobe !Kung, Dobe area, Botswana",,13,0,2,0,https://archive.org/details/Population_00_Spoo,,
!Kung,,0,"Lee, Richard. 1974. Male-Female Residence Arrangements and Political Power in Human Hunter-Gatherers. Archives of Sexual Behavior 3: 167-173.","1963-1965, 1967-1968, 1969, 1970-1971, 1972-1973 (field dates)","Dobe !Kung, Dobe area, Botswana",,6,0,2,0,https://link.springer.com/article/10.1007/BF01541000,,
!Kung,,0,"Lee, Richard 1976. !Kung Spatial Organization: An Ecological and Historical Perspective In: Richard Lee & Irven DeVore (Eds.), Kalahari Hunter-Gatherers, pp. 73-97. Cambridge: Harvard University Press.",1890-1870 (total coverage),"!Kung of the /Xai/xai and /Gəw areas, Botswana",,24,0,2,0,https://drive.google.com/file/d/1Rep8qsfemjVnl-ySY5iM8FkPPnJk7Ebn/view?usp=drive_link,,
!Kung,,0,"Lee, Richard. 1986. !Kung Kin Terms, the Name Relationship and the Process of Discovery. In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 77-102. Hamburg: Helmut Buske Verlag.",1963 (field date),"Dobe !Kung, Botswana",,25,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,1,"Lee, Richard. 1967. Trance Cure of the ! Kung Bushmen. Natural History 76: 31-37.",1963-1965 (field dates); 1963-1965 (total coverage),"Dobe !Kung (predominantly), /Du/da !Kung, Kauri !Kung, /Gwi, northwestern Ngamiland, Botswana",,6,0,2,0,https://tspace.library.utoronto.ca/bitstream/1807/18042/1/TSpace0178.pdf,,
!Kung,,0,"Lewis-Williamson, J.D. 1986. Paintings of Power. In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 231-274. Hamburg: Helmut Buske Verlag.",,All !Kung subgroups,,43,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,1,"Marshall, John. 1958. Man as hunter. Natural History, Vol. 72, HRAF pagination: 1–89 [Original: 291–309, 376–395 ].",1950-1955 (field dates); 1950-1955 (total coverage),"!Kung, Nyae Nyae region, Namibia",,89,S1,0,0,https://ehrafworldcultures.yale.edu/document?id=fx10-011,,
!Kung,,0,"Marshall, John. 1966a. The lion game (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,3,0,0,0,https://archive.org/details/liongame_201609,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966b. Men bathing (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,14,0,0,0,https://archive.org/details/menbathing,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966c. A curing ceremony (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,9,0,0,0,https://archive.org/details/acuringceremony_201703,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966d. A group of women (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,5,0,0,0,https://archive.org/details/agroupofwomen_201703,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,0,"Marshall, John. 1966e. Playing with scorpions (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,4,0,0,0,https://archive.org/details/playingwithscorpions,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,0,"Marshall, John. 1966f. Bitter melons (Film). Watertown: Documentary Educational Resources.",1955 (field date),"/Gwi !Kung, Kalahari Desert, Botswana",,32,0,0,0,https://archive.org/details/bittermelons,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966g. A joking relationship (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,12,0,0,0,https://archive.org/details/ajokingrelationship,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966h. Debe's tantrum (Film). Watertown: Documentary Educational Resources.",1957-1958 (field date),"!Kung, Nyae Nyae region, Namibia",,8,0,0,0,https://archive.org/details/debestantrum_201703,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,0,"Marshall, John. 1966i. !Kung Bushmen hunting equipment (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,38,0,0,0,https://archive.org/details/kungbushmenhuntingequipment,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1966j. N!owa t'ama: the melon tossing game (Film). Watertown: Documentary Educational Resources.",1957 (field date),"!Kung, Nyae Nyae region, Namibia",,15,0,0,0,https://archive.org/details/nowatamathemelontossing,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1969. An argument about a marriage (Film). Watertown: Documentary Educational Resources.",1958 (field date),"!Kung, Nyae Nyae region, Namibia",,18,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C764452,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,0,"Marshall, John. 1972a. Children throw toy Assegais (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,5,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C764568,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1972b. A rite of passage (Film). Watertown: Documentary Educational Resources.",1952-1953 (field date),"!Kung, Nyae Nyae region, Namibia",,15,0,0,0,https://archive.org/details/ariteofpassage_201502,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1972c. The wasp nest (Film). Watertown: Documentary Educational Resources.",1957-1958 (field dates),"!Kung, Nyae Nyae region, Namibia",,13,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C765472,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1973. N/um tchai: the ceremonial dance of the !Kung Bushmen (Film). Watertown: Documentary Educational Resources.",1957 (field date),"!Kung, Nyae Nyae region, Namibia",,20,0,0,0,https://archive.org/details/numtchaitheceremonialdanceofthekungbushmen,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,0,"Marshall, John. 1974a. Baobab play (Film). Watertown: Documentary Educational Resources.",1957-1958 (field date),"!Kung, Nyae Nyae region, Namibia",,8,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C764506,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1974b. The meat fight (Film). Watertown: Documentary Educational Resources.",1957-1958 (field dates),"!Kung, Nyae Nyae region, Namibia",,14,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C765414,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1974c. Tug-of-war (Film). Watertown: Documentary Educational Resources.",,"!Kung, Nyae Nyae region, Namibia",,6,0,0,0,https://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C765530,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1980. N!ai: The story of a !Kung woman (Film). Watertown: Documentary Educational Resources.","1951, 1952, 1953, 1955, 1958, 1978 (field dates)","!Kung, Nyae Nyae region, Namibia",,59,0,0,0,https://archive.org/details/naithestoryofakungwoman,"Same author, same group, same time period; page count is based on number of minutes in the film",
!Kung,,1,"Marshall, John. 1956. The Hunters. Somerville, Mass. (Film.)",1952-1953 (field dates),"!Kung, Nyae Nyae region, Namibia",,44,0,1,0,https://archive.org/details/huntersfilmpart2,Page count is based on number of minutes in the film,
